Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697135979.503049	1.000E-3	5.301E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135980.797349	1.000E-5	2.886E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135982.055918	1.000E-3	5.291E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135983.337978	1.000E-5	2.872E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135984.605781	1.000E-3	5.288E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135985.895806	1.000E-5	2.866E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135987.156909	1.000E-3	5.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135988.437214	1.000E-5	2.858E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135989.703041	1.000E-3	5.269E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135990.992950	1.000E-5	2.852E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135992.263393	1.000E-3	5.265E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135993.558740	1.000E-5	2.843E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135994.820059	1.000E-3	5.260E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135996.113186	1.000E-5	2.840E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135997.375295	1.000E-3	5.258E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135998.659788	1.000E-5	2.832E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135999.930392	1.000E-3	5.251E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136001.212973	1.000E-5	2.827E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136002.485147	1.000E-3	5.247E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136003.770727	1.000E-5	2.821E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136005.038817	1.000E-3	5.242E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136006.317910	1.000E-5	2.817E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136007.582840	1.000E-3	5.238E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697136008.866847	1.000E-5	2.817E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
